SDD;EDN;SDD_num;EDN_num
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);La décision thérapeutique personnalisée : bon usage dans des situations à risque;264;322
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Éducation thérapeutique, observance et automédication;264;324
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Thérapeutiques non médicamenteuses et dispositifs médicaux;264;328
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Prescription et surveillance des classes de médicaments les plus courantes chez l'adulte et chez l'enfant, hors anti-infectieux (voir item 177). Connaître le bon usage des principales classes thérapeutiques;264;330
Adaptation des traitements sur un terrain particulier (insuffisant rénal, insuffisant hépatique, grossesse, personne âgée...);Insuffisance rénale aiguë - Anurie;264;348
Adénopathies unique ou multiples;Tuberculose de l'adulte et de l'enfant;16;159
Adénopathies unique ou multiples;Oreillons;16;165
Adénopathies unique ou multiples;Infections à VIH;16;169
Adénopathies unique ou multiples;Syndrome mononucléosique;16;217
Adénopathies unique ou multiples;Splénomégalie;16;275
Adénopathies unique ou multiples;"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";16;292
Adénopathies unique ou multiples;Leucémies lymphoïdes chroniques;16;318
Adénopathies unique ou multiples;Lymphomes malins;16;319
Agitation;Soins psychiatriques sans consentement;114;15
Agitation;Prescription et surveillance des psychotropes (voir item 330);114;74
Agitation;Confusion, démences. (voir item 132);114;108
Agitation;État confusionnel et trouble de conscience chez l'adulte et chez l'enfant;114;343
Agitation;Crise d'angoisse aiguë et attaque de panique;114;352
Agitation;Risque et conduite suicidaires chez l'enfant, l'adolescent et l'adulte : identification et prise en charge;114;353
Allongement du temps de céphaline activée (TCA);Principales complications de la grossesse;213;24
Allongement du temps de céphaline activée (TCA);Spécificités des maladies génétiques. (voir item 9);213;45
Allongement du temps de céphaline activée (TCA);Epistaxis;213;87
Allongement du temps de céphaline activée (TCA);Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL);213;194
Allongement du temps de céphaline activée (TCA);Douleur et épanchement articulaire. Arthrite d'évolution récente;213;200
Allongement du temps de céphaline activée (TCA);Syndrome hémorragique d'origine hématologique;213;216
Allongement du temps de céphaline activée (TCA);Thrombose veineuse profonde et embolie pulmonaire (voir item 330);213;226
Allongement du temps de céphaline activée (TCA);Identification et gestion des risques liés aux médicaments et aux biomatériaux, risque iatrogène, erreur médicamenteuse (voir items 4 et 5);213;325
Allongement du temps de céphaline activée (TCA);État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique;213;332
Alopécie et chute des cheveux;Toxidermies;80;115
Alopécie et chute des cheveux;Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge. (Voir item 330);80;124
Alopécie et chute des cheveux;Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l'adulte et de l'enfant;80;155
Alopécie et chute des cheveux;Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL);80;194
Alopécie et chute des cheveux;Pathologie du fer chez l'adulte et l'enfant;80;219
Alopécie et chute des cheveux;Hypothyroïdie;80;243
Alopécie et chute des cheveux;Prise en charge et accompagnement d'un malade atteint de cancer à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques;80;295
Amaigrissement;Diagnostiquer : un trouble dépressif, un trouble anxieux, un trouble obsessionnel compulsif, un trouble de stress post-traumatique, un trouble de l'adaptation, un trouble de la personnalité;17;66
Amaigrissement;Troubles des conduites alimentaires chez l'adolescent et l'adulte (voir item 253);17;71
Amaigrissement;Soins et accompagnement dans la maladie chronique et le handicap;17;119
Amaigrissement;Réaction inflammatoire : aspects biologiques et cliniques. Conduite à tenir;17;185
Amaigrissement;Hyperthyroïdie;17;242
Amaigrissement;Diabète sucré de type 1 et 2 de l'enfant et de l'adulte. Complications;17;247
Amaigrissement;Dénutrition chez l'adulte et l'enfant;17;250
Amaigrissement;Amaigrissement à tous les âges;17;251
Amaigrissement;Troubles nutritionnels chez le sujet âgé;17;252
Amaigrissement;"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";17;292
Analyse d'un examen cytobactériologique des urines (ECBU);Connaître les particularités de l'infection urinaire au cours de la grossesse;189;28
Analyse d'un examen cytobactériologique des urines (ECBU);Troubles de la miction chez l'enfant;189;51
Analyse d'un examen cytobactériologique des urines (ECBU);Infections urinaires de l'enfant et de l'adulte;189;161
Analyse d'un examen cytobactériologique des urines (ECBU);Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;189;162
Analyse d'un examen cytobactériologique des urines (ECBU);Hématurie;189;260
Analyse d'un examen cytobactériologique des urines (ECBU);Néphropathie glomérulaire;189;261
Analyse d'un examen cytobactériologique des urines (ECBU);Néphropathies interstitielles;189;262
Analyse d'un examen cytobactériologique des urines (ECBU);Lithiase urinaire;189;265
Analyse d'un examen cytobactériologique des urines (ECBU);Tumeurs du rein de l'adulte;189;311
Analyse d'un examen cytobactériologique des urines (ECBU);Tumeurs vésicales;189;314
Analyse d'un résultat de gaz du sang;Infections broncho pulmonaires communautaires de l'adulte et de l'enfant;192;154
Analyse d'un résultat de gaz du sang;Sepsis et choc septique de l'enfant et de l'adulte;192;158
Analyse d'un résultat de gaz du sang;Dyspnée aiguë et chronique;192;203
Analyse d'un résultat de gaz du sang;Bronchopneumopathie chronique obstructive chez l'adulte;192;209
Analyse d'un résultat de gaz du sang;Diabète sucré de type 1 et 2 de l'enfant et de l'adulte. Complications;192;247
Analyse d'un résultat de gaz du sang;Insuffisance rénale chronique chez l'adulte et l'enfant;192;264
Analyse d'un résultat de gaz du sang;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;192;267
Analyse d'un résultat de gaz du sang;Principales intoxications aiguës;192;337
Analyse d'un résultat de gaz du sang;Insuffisance rénale aiguë - Anurie;192;348
Analyse de l'électrophorèse des protéines sériques;Ostéopathies fragilisantes;193;128
Analyse de l'électrophorèse des protéines sériques;Infections à VIH;193;169
Analyse de l'électrophorèse des protéines sériques;Réaction inflammatoire : aspects biologiques et cliniques. Conduite à tenir;193;185
Analyse de l'électrophorèse des protéines sériques;Déficit immunitaire;193;189
Analyse de l'électrophorèse des protéines sériques;Sarcoïdose;193;211
Analyse de l'électrophorèse des protéines sériques;Anémie chez l'adulte et l'enfant;193;213
Analyse de l'électrophorèse des protéines sériques;Protéinurie et syndrome néphrotique chez l'adulte et de l'enfant;193;259
Analyse de l'électrophorèse des protéines sériques;Cirrhose et complications;193;279
Analyse de l'électrophorèse des protéines sériques;Myélome multiple des os;193;320
Analyse de la bandelette urinaire;Principales complications de la grossesse;182;24
Analyse de la bandelette urinaire;Connaître les particularités de l'infection urinaire au cours de la grossesse;182;28
Analyse de la bandelette urinaire;Infections urinaires de l'enfant et de l'adulte;182;161
Analyse de la bandelette urinaire;Diabète sucré de type 1 et 2 de l'enfant et de l'adulte. Complications;182;247
Analyse de la bandelette urinaire;Diabète gestationnel;182;255
Analyse de la bandelette urinaire;Œdèmes des membres inférieurs localisés ou généralisés;182;257
Analyse de la bandelette urinaire;Protéinurie et syndrome néphrotique chez l'adulte et de l'enfant;182;259
Analyse de la bandelette urinaire;Hématurie;182;260
Analyse de la bandelette urinaire;Néphropathie glomérulaire;182;261
Analyse de la bandelette urinaire;Insuffisance rénale chronique chez l'adulte et l'enfant;182;264
Analyse de la bandelette urinaire;Lithiase urinaire;182;265
Analyse de la bandelette urinaire;Tumeurs vésicales;182;314
Analyse de la bandelette urinaire;Insuffisance rénale aiguë - Anurie;182;348
Analyse des bicarbonates;Diabète sucré de type 1 et 2 de l'enfant et de l'adulte. Complications;197;247
Analyse des bicarbonates;Troubles de l'équilibre acido-basique et désordres hydro-électrolytiques;197;267
Analyse des bicarbonates;Diarrhée aiguë et déshydratation chez le nourrisson, l'enfant et l'adulte;197;286
Analyse des bicarbonates;État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique;197;332
Analyse des bicarbonates;Principales intoxications aiguës;197;337
Analyse des bicarbonates;Insuffisance rénale aiguë - Anurie;197;348
Analyse du bilan lipidique;Facteurs de risque cardio-vasculaire et prévention;195;222
Analyse du bilan lipidique;Dyslipidémies;195;223
Analyse du bilan lipidique;Modifications thérapeutiques du mode de vie (alimentation et activité physique) chez l'adulte et l'enfant;195;249
Analyse du bilan thyroïdien;Hyperthyroïdie;194;242
Analyse du bilan thyroïdien;Hypothyroïdie;194;243
Analyse du liquide cérébro-spinal (LCS);Céphalée inhabituelle aiguë et chronique chez l'adulte et l'enfant;183;100
Analyse du liquide cérébro-spinal (LCS);Surveillance des maladies infectieuses transmissibles;183;145
Analyse du liquide cérébro-spinal (LCS);Fièvre aiguë chez l'enfant et l'adulte;183;147
Analyse du liquide cérébro-spinal (LCS);Méningites, méningoencéphalites, abcès cérébral chez l'adulte et l'enfant;183;151
Analyse du liquide cérébro-spinal (LCS);Tuberculose de l'adulte et de l'enfant;183;159
Analyse du liquide cérébro-spinal (LCS);Prescription et surveillance des anti-infectieux chez l'adulte et l'enfant (voir item 330);183;177
Analyse du liquide cérébro-spinal (LCS);Purpuras chez l'adulte et l'enfant;183;215
Analyse du liquide cérébro-spinal (LCS);Hémorragie méningée;183;341
Analyse du liquide cérébro-spinal (LCS);État confusionnel et trouble de conscience chez l'adulte et chez l'enfant;183;343
Analyse du sédiment urinaire;Infections urinaires de l'enfant et de l'adulte;196;161
Analyse du sédiment urinaire;Élévation de la créatininémie;196;258
Analyse du sédiment urinaire;Protéinurie et syndrome néphrotique chez l'adulte et de l'enfant;196;259
Analyse du sédiment urinaire;Hématurie;196;260
Analyse du sédiment urinaire;Néphropathie glomérulaire;196;261
Analyse du sédiment urinaire;Néphropathies interstitielles;196;262
Analyse du sédiment urinaire;Néphropathies vasculaires;196;263
Analyse du sédiment urinaire;Insuffisance rénale chronique chez l'adulte et l'enfant;196;264
Analyse du sédiment urinaire;Lithiase urinaire;196;265
Analyse du sédiment urinaire;Tumeurs du rein de l'adulte;196;311
Analyse du sédiment urinaire;Tumeurs vésicales;196;314
Analyse du sédiment urinaire;Insuffisance rénale aiguë - Anurie;196;348
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale;327;1
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;Les valeurs professionnelles du médecin et des autres professions de santé;327;2
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;Le raisonnement et la décision en médecine. La médecine fondée sur les preuves (Evidence Based Medicine, EBM). La décision médicale partagée. La controverse;327;3
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;Les droits individuels et collectifs du patient;327;7
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;La mort;327;14
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (2). Accompagnement de la personne malade et de son entourage. Principaux repères éthiques;327;140
Annonce d'un diagnostic de maladie grave au patient et/ou à sa famille;Prise en charge et accompagnement d'un malade atteint de cancer à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques;327;295
Annonce d'une maladie chronique;La relation médecin-malade dans le cadre du colloque singulier ou au sein d'une équipe, le cas échéant pluriprofessionnelle. La communication avec le patient et son entourage. L'annonce d'une maladie grave ou létale ou d'un dommage associé aux soins. La formation du patient. La personnalisation de la prise en charge médicale;328;1
Annonce d'une maladie chronique;Les valeurs professionnelles du médecin et des autres professions de santé;328;2
Annonce d'une maladie chronique;Les droits individuels et collectifs du patient;328;7
Annonce d'une maladie chronique;Introduction à l'éthique médicale;328;9
Annonce d'une maladie chronique;Maladies rares;328;22
Annonce d'une maladie chronique;Spécificités des maladies génétiques. (voir item 9);328;45
Annonce d'une maladie chronique;Soins et accompagnement dans la maladie chronique et le handicap;328;119
Anomalie de l'examen clinique mammaire;Puberté normale et pathologique;164;49
Anomalie de l'examen clinique mammaire;Gynécomastie;164;246
Anomalie de l'examen clinique mammaire;Épidémiologie, facteurs de risque, prévention et dépistage des cancers;164;290
Anomalie de l'examen clinique mammaire;Cancer : cancérogénèse, oncogénétique;164;291
Anomalie de l'examen clinique mammaire;"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";164;292
Anomalie de l'examen clinique mammaire;Tumeurs du sein;164;312
Anomalie de la miction;Tuméfaction pelvienne chez la femme;23;44
Anomalie de la miction;Pathologie génito-scrotale chez le garçon et chez l'homme;23;50
Anomalie de la miction;Troubles de la miction chez l'enfant;23;51
Anomalie de la miction;Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge. (Voir item 330);23;124
Anomalie de la miction;Troubles de la miction et incontinence urinaire de l'adulte et du sujet âgé;23;125
Anomalie de la miction;Hypertrophie bénigne de la prostate;23;127
Anomalie de la miction;Rétention aiguë d'urine;23;347
Anomalie de la vision;Altération chronique de la vision;138;81
Anomalie de la vision;Altération aiguë de la vision;138;82
Anomalie de la vision;Infections et inflammations oculaires;138;83
Anomalie de la vision;Glaucomes;138;84
Anomalie de la vision;Troubles de la réfraction;138;85
Anomalie de la vision;Diplopie;138;102
Anomalie des bourses;Pathologie génito-scrotale chez le garçon et chez l'homme;108;50
Anomalie des bourses;Tumeurs du testicule;108;313
Anomalie des indices érythrocytaires (taux hémoglobine, hématocrite...);Hémogramme chez l'adulte et l'enfant : indications et interprétation;214;212
Anomalie des indices érythrocytaires (taux hémoglobine, hématocrite...);Pathologie du fer chez l'adulte et l'enfant;214;219
Anomalie des indices érythrocytaires (taux hémoglobine, hématocrite...);Syndromes myélodysplasiques;214;316
Anomalie des indices érythrocytaires (taux hémoglobine, hématocrite...);Syndromes myéloprolifératifs;214;317
Anomalie des plaquettes;Hémogramme chez l'adulte et l'enfant : indications et interprétation;215;212
Anomalie des plaquettes;Thrombopénie chez l'adulte et l'enfant;215;214
Anomalie des plaquettes;Purpuras chez l'adulte et l'enfant;215;215
Anomalie des plaquettes;Syndrome hémorragique d'origine hématologique;215;216
Anomalie du développement psychomoteur;Spécificités des maladies génétiques. (voir item 9);115;45
Anomalie du développement psychomoteur;Médecine génomique;115;46
Anomalie du développement psychomoteur;Suivi d'un nourrisson, d'un enfant et d'un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles;115;47
Anomalie du développement psychomoteur;Développement psychomoteur du nourrisson et de l'enfant : aspects normaux et pathologiques (sommeil, alimentation, contrôles sphinctériens, psychomotricité, langage, intelligence). L'installation précoce de la relation parents-enfant et son importance. Troubles de l'apprentissage (voir item 122);115;55
Anomalie du développement psychomoteur;L'enfant handicapé : orientation et prise en charge (voir items 118, 121);115;56
Anomalie du développement psychomoteur;Troubles du neurodéveloppement (voir items 55, 118, 121, 122, 138);115;67
Anomalie du développement psychomoteur;La personne handicapée : bases de l'évaluation fonctionnelle et thérapeutique. (voir item 56);115;118
Anomalie leucocytes;Fièvre aiguë chez l'enfant et l'adulte;216;147
Anomalie leucocytes;Sepsis et choc septique de l'enfant et de l'adulte;216;158
Anomalie leucocytes;Hémogramme chez l'adulte et l'enfant : indications et interprétation;216;212
Anomalie leucocytes;Syndrome mononucléosique;216;217
Anomalie leucocytes;Éosinophilie;216;218
Anomalie leucocytes;Agranulocytose médicamenteuse : conduite à tenir;216;296
Anomalie leucocytes;Leucémies aiguës;216;315
Anomalie leucocytes;Syndromes myélodysplasiques;216;316
Anomalie leucocytes;Syndromes myéloprolifératifs;216;317
Anomalie leucocytes;Leucémies lymphoïdes chroniques;216;318
Anomalies de couleur des extrémités;Pathologies auto-immunes : aspects épidémiologiques, diagnostiques et principes de traitement;15;192
Anomalies de couleur des extrémités;Connaître les principaux types de vascularite systémique, les organes cibles, les outils diagnostiques et les moyens thérapeutiques;15;193
Anomalies de couleur des extrémités;Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL);15;194
Anomalies de couleur des extrémités;Insuffisance respiratoire chronique;15;208
Anomalies de couleur des extrémités;"Artériopathie de l'aorte, des artères viscérales et des membres inférieurs ; anévrysmes";15;225
Anomalies de couleur des extrémités;Acrosyndromes (phénomène de Raynaud, érythermalgie, acrocyanose, engelures, ischémie digitale);15;239
Anomalies de couleur des extrémités;Syndromes myéloprolifératifs;15;317
Anomalies de couleur des extrémités;État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique;15;332
Anomalies de couleur des extrémités;Détresse et insuffisance respiratoire aigüe du nourrisson, de l'enfant et de l'adulte;15;359
Anomalies de la croissance staturo-pondérale;Suivi d'un nourrisson, d'un enfant et d'un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles;26;47
Anomalies de la croissance staturo-pondérale;Alimentation et besoins nutritionnels du nourrisson et de l'enfant;26;48
Anomalies de la croissance staturo-pondérale;Retard de croissance staturo-pondérale;26;53
Anomalies de la croissance staturo-pondérale;Troubles des conduites alimentaires chez l'adolescent et l'adulte (voir item 253);26;71
Anomalies des muqueuses;Dermatose bulleuse touchant la peau et/ou les muqueuses externes;91;112
Anomalies des muqueuses;Toxidermies;91;115
Anomalies des muqueuses;Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l'adulte et de l'enfant;91;155
Anomalies des muqueuses;Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;91;162
Anomalies des muqueuses;Infections à herpès virus du sujet immunocompétent;91;168
Anomalies des muqueuses;Hypersensibilités et allergies cutanéomuqueuses chez l'enfant et l'adulte. Urticaire, dermatites atopique et de contact;91;187
Anomalies des muqueuses;Lupus systémique (LS). Syndrome des anti-phospholipides (SAPL);91;194
Anomalies des muqueuses;Prise en charge et accompagnement d'un malade atteint de cancer à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques;91;295
Anomalies des muqueuses;Tumeurs de la cavité buccale, naso-sinusiennes et du cavum, et des voies aérodigestives supérieures;91;298
Anomalies des muqueuses;Œdème de Quincke et anaphylaxie;91;338
Anomalie des ongles;Psoriasis;81;117
Anomalie des ongles;Insuffisance respiratoire chronique;81;208
Anomalie des ongles;Acrosyndromes (phénomène de Raynaud, érythermalgie, acrocyanose, engelures, ischémie digitale);81;239
Anomalie des ongles;Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques de l'adulte et de l'enfant;81;155
Anomalie des ongles;Pathologie du fer chez l'adulte et l'enfant;81;219
Anomalie des ongles;Tumeurs cutanées, épithéliales et mélaniques;81;302
Anomalies palpébrales;Pathologie des paupières;139;86
Anxiété;Connaître les facteurs de risque, prévention, dépistage des troubles psychiques de l'enfant à la personne âgée;116;60
Anxiété;Connaître les bases des classifications des troubles mentaux de l'enfant à la personne âgée;116;61
Anxiété;Décrire l'organisation de l'offre de soins en psychiatrie, de l'enfant à la personne âgée;116;62
Anxiété;Diagnostiquer : un trouble dépressif, un trouble anxieux, un trouble obsessionnel compulsif, un trouble de stress post-traumatique, un trouble de l'adaptation, un trouble de la personnalité;116;66
Anxiété;Différents types de techniques psychothérapeutiques;116;73
Anxiété;Prescription et surveillance des psychotropes (voir item 330);116;74
Anxiété;Crise d'angoisse aiguë et attaque de panique;116;352
Apathie;Troubles schizophréniques de l'adolescent et de l'adulte;117;63
Apathie;Troubles bipolaires de l'adolescent et de l'adulte;117;64
Apathie;Diagnostiquer : un trouble dépressif, un trouble anxieux, un trouble obsessionnel compulsif, un trouble de stress post-traumatique, un trouble de l'adaptation, un trouble de la personnalité;117;66
Apathie;Troubles psychiques du sujet âgé;117;70
Apathie;Maladie de Parkinson;117;106
Apathie;Mouvements anormaux;117;107
Apathie;Confusion, démences. (voir item 132);117;108
Apathie;La personne âgée malade : particularités sémiologiques, psychologiques et thérapeutiques. (voir item 322);117;130
Apathie;Troubles cognitifs du sujet âgé. (voir item 108);117;132
Apathie;Soins palliatifs pluridisciplinaires chez un malade en phase palliative ou terminale d'une maladie grave, chronique ou létale (1). Principaux repères cliniques. Modalités d'organisation des équipes, en établissement de santé et en et en ambulatoire;117;139
Apathie;Accidents vasculaires cérébraux;117;340
Apathie;État confusionnel et trouble de conscience chez l'adulte et chez l'enfant;117;343
Apparition d'une difficulté à la marche;Déficit moteur et/ou sensitif des membres;66;92
Apparition d'une difficulté à la marche;Compression médullaire non traumatique et syndrome de la queue de cheval;66;93
Apparition d'une difficulté à la marche;Radiculalgie et syndrome canalaire;66;95
Apparition d'une difficulté à la marche;Neuropathies périphériques;66;96
Apparition d'une difficulté à la marche;Troubles de la marche et de l'équilibre;66;109
Apparition d'une difficulté à la marche;Arthrose;66;129
Apparition d'une difficulté à la marche;Douleur et épanchement articulaire. Arthrite d'évolution récente;66;200
Asthénie;Diagnostiquer : un trouble dépressif, un trouble anxieux, un trouble obsessionnel compulsif, un trouble de stress post-traumatique, un trouble de l'adaptation, un trouble de la personnalité;21;66
Asthénie;Troubles à symptomatologie somatique et apparentés à tous les âges;21;72
Asthénie;Troubles du sommeil de l'enfant et de l'adulte;21;110
Asthénie;Anémie chez l'adulte et l'enfant;21;213
Asthénie;Hypothyroïdie;21;243
Asthénie;Insuffisance surrénale chez l'adulte et l'enfant;21;245
Asthénie;Dénutrition chez l'adulte et l'enfant;21;250
Asthénie;"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";21;292
Bactérie multirésistante à l'antibiogramme;Qualité et sécurité des soins. La sécurité du patient. La gestion des risques. Les événements indésirables associés aux soins (EIAS). Démarche qualité et évaluation des pratiques professionnelles;187;4
Bactérie multirésistante à l'antibiogramme;Sepsis et choc septique de l'enfant et de l'adulte;187;158
Bactérie multirésistante à l'antibiogramme;Infections urinaires de l'enfant et de l'adulte;187;161
Bactérie multirésistante à l'antibiogramme;Prescription et surveillance des anti-infectieux chez l'adulte et l'enfant (voir item 330);187;177
Bactérie multirésistante à l'antibiogramme;Risques émergents, bioterrorisme, maladies hautement transmissibles;187;178
Baisse de l'audition/surdité;Suivi d'un nourrisson, d'un enfant et d'un adolescent normal. Dépistage des anomalies orthopédiques, des troubles visuels, auditifs et dentaires. Examens de santé obligatoires. Médecine scolaire. Mortalité et morbidité infantiles;140;47
Baisse de l'audition/surdité;Altération de la fonction auditive;140;89
Baisse de l'audition/surdité;La personne handicapée : bases de l'évaluation fonctionnelle et thérapeutique. (voir item 56);140;118
Baisse de l'hémoglobine;Hémorragie génitale chez la femme;217;43
Baisse de l'hémoglobine;Hémogramme chez l'adulte et l'enfant : indications et interprétation;217;212
Baisse de l'hémoglobine;Anémie chez l'adulte et l'enfant;217;213
Baisse de l'hémoglobine;Pathologie du fer chez l'adulte et l'enfant;217;219
Baisse de l'hémoglobine;État de choc. Principales étiologies : hypovolémique, septique (voir item 158), cardio-génique, anaphylactique;217;332
Baisse de l'hémoglobine;Hémorragie digestive;217;355
Boiterie;Boiterie chez l'enfant;68;54
Boiterie;Ostéopathies fragilisantes;68;128
Boiterie;Infections ostéo articulaires (IOA) de l'enfant et de l'adulte;68;156
Boiterie;Douleur et épanchement articulaire. Arthrite d'évolution récente;68;200
Boiterie;Fractures fréquentes de l'adulte et du sujet âgé;68;363
Bouffées de chaleur;Aménorrhée;24;42
Bouffées de chaleur;Vieillissement normal : aspects biologiques, fonctionnels et relationnels. Données épidémiologiques et sociologiques. Prévention du vieillissement pathologique;24;123
Bouffées de chaleur;Ménopause, insuffisance ovarienne prématurée, andropause, déficit androgénique lié à l'âge. (Voir item 330);24;124
Bouffées de chaleur;"Diagnostic des cancers : signes d'appel et investigations para-cliniques ; caractérisation du stade ; pronostic";24;292
Bradycardie;Électrocardiogramme : indications et interprétations;159;231
Bradycardie;Troubles de la conduction intracardiaque;159;236
Bradycardie;Malaise, perte de connaissance, crise comitiale chez l'adulte (voir item 105);159;342
Brulure mictionnelle;Connaître les particularités de l'infection urinaire au cours de la grossesse;96;28
Brulure mictionnelle;Troubles de la miction et incontinence urinaire de l'adulte et du sujet âgé;96;125
Brulure mictionnelle;Infections urinaires de l'enfant et de l'adulte;96;161
Brulure mictionnelle;Infections sexuellement transmissibles (IST) : gonococcies, chlamydioses, syphilis, papillomavirus humain (HPV), trichomonose;96;162
